,sales,sales_pred,week
0,11842.25,19077.25390625,0
1,16687.09375,15163.912109375,1
2,16121.093750000002,18684.783203125,2
3,15789.59375,19141.810546875,3
4,18271.46875,18210.673828125,4
5,14309.59375,21282.267578125,5
6,34053.96875,17321.92578125,6
7,36530.09375,35806.67578125,7
8,36886.96875,41882.1953125,8
9,35049.0,40357.28125,9
10,44597.75,39170.51171875,10
11,45563.0,45898.72265625,11
12,42059.25,48322.87890625,12
13,42315.5,44025.55078125,13
14,23511.75,44054.62890625,14
15,20414.375,26528.845703125,15
16,19696.875,21197.912109375,16
17,22328.875,21794.361328125,17
18,18155.125,22911.80078125,18
19,22711.345,20824.126953125,19
20,23165.72,24668.517578125,20
21,21759.47,26228.765625,21
22,21676.97,24127.021484375,22
23,22145.72,24470.08984375,23
24,20963.22,24590.8359375,24
25,15099.345,23420.8359375,25
26,10486.845,17856.802734375,26
27,6708.5,13042.51953125,27
28,5526.625,9327.1376953125,28
29,6209.125,7721.5498046875,29
30,5361.0,8543.384765625,30
31,6680.374999999999,8018.05615234375,31
32,7665.374999999999,9416.6962890625,32
33,9502.875,10711.7197265625,33
34,9257.875,12397.1005859375,34
35,8734.5,12483.6044921875,35
36,10850.125,11773.5166015625,36
37,10785.0,13766.53515625,37
38,13316.125,13786.5830078125,38
39,13187.625000000002,16077.8369140625,39
40,12768.875000000002,16438.943359375,40
41,11052.625,15642.794921875,41
42,10602.625,14124.5517578125,42
43,10616.875,13278.232421875,43
44,9179.375,13325.623046875,44
45,25013.175,11921.3896484375,45
46,24573.925,27202.748046875,46
47,24055.55,29196.134765625,47
48,26498.175,27287.171875,48
49,26841.3,30348.70703125,49
50,28106.3,29375.37890625,50
51,37875.8,30454.716796875,51
52,40616.675,40198.97265625,52
53,36393.875,44061.9296875,53
54,41214.125,39374.45703125,54
55,66616.25,43170.7265625,55
56,70122.5,67909.75,56
57,86287.5625,75622.375,57
58,94142.6875,89179.90625,58
59,98975.0,97381.9609375,59
60,106827.875,97086.4765625,60
61,100360.6875,102401.578125,61
62,106498.9375,95442.8515625,62
63,88616.8125,96964.03125,63
64,87709.3125,84051.78125,64
65,78696.75,78572.265625,65
66,85922.775,74351.171875,66
67,85718.16249999999,78070.9765625,67
68,80377.76250000001,81967.90625,68
69,80585.32500000001,76373.828125,69
70,79384.20000000001,76373.2578125,70
71,78542.95000000001,75557.9765625,71
72,83365.82500000001,74579.84375,72
73,88392.57500000001,79229.125,73
74,79398.05,84660.8125,74
75,70812.45,77149.2734375,75
76,70415.0375,67497.1640625,76
77,70102.4125,66672.4296875,77
78,63643.0375,66899.2890625,78
79,59839.600000000006,61812.1015625,79
80,54533.47499999999,58122.29296875,80
81,48263.35,53698.84765625,81
82,47247.975,47615.84765625,82
83,47622.83125,46643.58203125,83
84,48111.89375,47555.67578125,84
85,48077.412500000006,48394.8203125,85
86,49763.475000000006,48950.0859375,86
87,50588.31875,50562.1328125,87
88,51497.69375,51585.9921875,88
89,52149.69375,52329.46484375,89
90,53017.76875,53029.96484375,90
91,53877.1125,53689.64453125,91
92,57012.55,54490.94140625,92
93,64688.0,57359.76171875,93
94,68529.95625,64900.91015625,94
95,70833.8,69431.421875,95
96,75282.39375,71112.1171875,96
97,75801.51875,74665.1015625,97
98,74460.81875,74817.7421875,98
99,72107.26875,72670.65625,99
100,68023.20625,70035.8359375,100
101,60173.95,65872.875,101
102,54351.26875,58610.71875,102
103,53520.59375,52884.7578125,103
104,50909.23125,52161.5078125,104
105,50742.86875,50380.65625,105
106,49288.38125,50331.69921875,106
107,49717.78125,49741.10546875,107
108,51178.28124999999,49929.2421875,108
109,53330.94375,51741.81640625,109
110,63099.53125,53892.33984375,110
111,63141.83125,63383.1875,111
112,61162.8625,64901.390625,112
113,56313.41249999999,61613.5625,113
114,56683.65,56720.6875,114
115,58293.725,55656.546875,115
116,57909.4125,57661.7578125,116
117,57007.375,57644.28515625,117
118,48791.54375,56996.0390625,118
119,52993.26375,49466.85546875,119
120,51958.66374999999,51898.7890625,120
121,50438.35125,52566.75,121
