,week,forecast1,forecast2,forecast3,forecast4,forecast5,forecast6,forecast7,forecast8,forecast9,forecast10,forecast11,mean,std
0,122,65533.32031,65533.32031,65533.32031,67245.25781,67245.25781,65533.32031,64779.4375,59932.05078,56269.35547,54711.09375,55741.84766,62550.68927454544,4886.3239940156745
1,123,51018.08594,51018.08594,51018.08594,47075.02344,47075.02344,51018.08594,52534.34375,55665.55469,52812.4375,50361.76172,49628.40625,50838.62677727274,2453.9945889895944
2,124,53170.78125,53170.78125,53170.78125,41686.74219,41686.74219,53170.78125,55592.81641,54305.84375,56218.26172,53385.60156,51326.28906,51535.03835272728,5042.064664323782
3,125,45013.1875,45013.1875,45013.1875,43845.69141,43845.69141,45013.1875,55286.97656,55419.84766,54001.72266,55639.18359,53412.88672,49227.70454636363,5342.772899105588
4,126,45692.15234,45692.15234,45692.15234,54642.11328,54642.11328,45692.15234,53752.56641,54473.95313,54372.43359,53226.25,55093.32031,51179.214487272715,4377.206986098074
5,127,59039.75781,59039.75781,59039.75781,48346.61328,48346.61328,59039.75781,50142.62109,55197.61328,55190.46484,54951.78906,54272.16016,54782.446020909076,4213.010659136955
6,128,52712.66406,52712.66406,52712.66406,49589.46875,49589.46875,52712.66406,51547.87891,50659.68359,54566.09766,54630.52344,54881.13672,52392.264914545456,1891.206329209384
7,129,54673.79297,54673.79297,54673.79297,54965.50781,54965.50781,54673.79297,60103.17969,52260.41406,50852.05469,54239.71094,54758.32031,54621.80610818182,2241.5253646406195
8,130,56497.44141,56497.44141,56497.44141,54216.99609,54216.99609,56497.44141,57611.23438,59661.94141,52175.32813,50888.01953,54420.875,55380.105115454535,2497.619216112864
9,131,56594.71875,56594.71875,56594.71875,55760.74609,55760.74609,56594.71875,58816.9375,58378.67969,58615.91406,51980.29688,51428.58203,56101.88884909091,2427.0802925584094
10,132,60983.50781,60983.50781,60983.50781,57615.625,57615.625,60983.50781,60391.80078,59050.54688,58021.16016,57727.91406,52447.73047,58800.40305363636,2580.313998775519
11,133,60020.94922,60020.94922,60020.94922,60091.60156,60091.60156,60020.94922,59371.05078,60474.96484,58919.12109,57370.65234,57616.46094,59456.29545363637,1055.9816147127158
