,Total
0,37640.0
1,19520.0
2,1270.0
3,2700.0
4,3560.0
5,830.0
6,1945.0
7,11560.0
8,8295.0
9,47400.0
10,2500.0
11,10728.0
12,5180.0
13,14240.0
14,41495.0
15,1185.0
16,6400.0
17,13010.0
18,41258.75
19,6200.0
20,2528.0
21,34095.0
22,9800.0
23,159140.0
24,26209.0
25,15865.0
26,26555.0
27,82590.0
28,10250.0
29,6065.0
30,11850.0
31,8710.0
32,1430.0
33,10125.0
34,47611.0
35,49200.0
36,46699.76
37,9700.0
38,600.0
39,8050.0
40,5180.0
41,665.0
42,700.0
43,12300.0
44,16473.0
45,245.0
46,6060.0
47,1265.0
48,15735.0
49,8545.0
50,15400.0
51,10340.0
52,12286.0
53,17170.0
54,5539.0
55,21514.0
56,14707.0
57,5195.0
58,1670.0
59,6740.0
60,12400.0
61,5670.0
62,132209.4
63,18000.0
64,10560.0
65,24736.0
66,4415.0
67,16860.0
68,90556.0
69,27597.0
70,98427.0
71,56562.0
72,213777.0
73,52786.0
74,133735.5
75,79701.0
76,129214.5
77,90420.0
78,46689.5
79,105668.0
80,70720.0
81,45526.0
82,61635.0
83,137509.2
84,127577.6
85,47696.8
86,48350.0
87,96059.0
88,63990.0
89,84109.0
90,101849.0
91,65553.0
92,58892.8
93,44517.5
94,45849.0
95,44384.0
96,33562.5
97,41660.0
98,51688.0
99,57430.0
100,61891.65
101,48430.0
102,45573.15
103,57872.5
104,40161.25
105,48935.0
106,56904.0
107,64374.6
108,68766.4
109,73513.5
110,106976.75
111,88608.15
112,58592.0
113,84523.75
114,61057.0
115,53649.0
116,49938.0
117,40841.0
118,44182.7
119,42026.7
120,51946.6
121,63632.85
122,59726.1
123,42013.1
124,53373.2
125,52525.0
126,61404.0
127,120175.4
128,52285.0
129,47801.1
130,20930.5
131,44975.0
132,66253.8
133,49450.5
134,54187.7
135,54448.75
136,85898.76
137,39524.3
138,8768.0
139,65533.3203125
140,51018.0859375
141,53170.78125
142,45013.1875
143,45692.15234375
144,59039.7578125
145,52712.6640625
146,54673.79296875
147,56497.44140625
148,56594.71875
149,60983.5078125
150,60020.94921875
